Order_ID,Order_Date,Delivery_Date,Product_ID,Category,Supplier,Price,Quantity,Region,City,Marketing_Channel,Return_Status,Return_Date,Return_Reason
ORD100000,2024-10-21,2024-10-27,P1102,Electronics,Supplier A,758.41,3,South,Chennai,Social Media,No,,
ORD100001,2024-11-16,2024-11-20,P1179,Fashion,Supplier C,814.39,1,West,Chennai,Ads,Yes,2024-11-24,Wrong Item
ORD100002,2024-08-20,2024-08-27,P1092,Electronics,Supplier A,734.67,3,East,Mumbai,Social Media,Yes,2024-09-08,Damaged
ORD100003,2024-06-06,2024-06-10,P1014,Sports,Supplier A,619.34,1,South,Chennai,Social Media,No,,
ORD100004,2024-09-25,2024-10-02,P1106,Electronics,Supplier A,1160.1,3,South,Chennai,Social Media,No,,
ORD100005,2024-01-21,2024-01-29,P1071,Fashion,Supplier D,28.18,2,East,Mumbai,Email,No,,
ORD100006,2024-02-22,2024-02-27,P1188,Home,Supplier A,901.68,3,West,Chennai,Email,No,,
ORD100007,2024-10-01,2024-10-10,P1020,Electronics,Supplier A,852.61,2,East,Bangalore,Social Media,No,,
ORD100008,2024-11-08,2024-11-14,P1102,Beauty,Supplier B,1077.11,2,North,Bangalore,Organic,Yes,2024-11-27,Late Delivery
ORD100009,2024-10-07,2024-10-11,P1121,Home,Supplier B,902.55,3,North,Kolkata,Social Media,No,,
ORD100010,2024-08-01,2024-08-08,P1074,Beauty,Supplier D,1241.93,1,West,Bangalore,Social Media,No,,
ORD100011,2024-01-31,2024-02-07,P1087,Beauty,Supplier A,1439.02,1,South,Delhi,Ads,No,,
ORD100012,2024-12-02,2024-12-10,P1116,Beauty,Supplier B,520.36,4,South,Delhi,Social Media,No,,
ORD100013,2024-07-01,2024-07-08,P1099,Electronics,Supplier B,348.75,1,South,Delhi,Email,No,,
ORD100014,2024-01-23,2024-02-01,P1103,Sports,Supplier C,641.16,4,East,Mumbai,Ads,No,,
ORD100015,2024-02-01,2024-02-04,P1151,Home,Supplier A,439.02,1,East,Bangalore,Organic,No,,
ORD100016,2024-03-14,2024-03-16,P1130,Fashion,Supplier B,926.28,1,West,Delhi,Ads,No,,
ORD100017,2024-01-10,2024-01-19,P1149,Sports,Supplier D,1368.66,2,North,Kolkata,Organic,Yes,2024-01-21,Damaged
ORD100018,2024-02-23,2024-02-28,P1052,Electronics,Supplier C,217.28,4,South,Mumbai,Ads,No,,
ORD100019,2024-02-21,2024-03-01,P1001,Beauty,Supplier C,160.18,1,North,Kolkata,Ads,No,,
ORD100020,2024-05-27,2024-06-04,P1087,Fashion,Supplier A,391.46,4,East,Bangalore,Organic,No,,
